Order #,Supplier,Date Added,Invoice Number,Metal Type,Qty,Weight,Price
26689,,17/07/2024,0,14KT,1,10.0 g.,
26689,,17/07/2024,0,18KT,1,10.0 g.,
26689,,17/07/2024,0,Platinum,1,10.0 g.,
52467,,17/07/2024,0,14KT,1,3.35 g.,
52465,,17/07/2024,0,14KT,1,4.76 g.,
52360,,17/07/2024,0,14KT,1,7.54 g.,
52466,,17/07/2024,0,14KT,1,3.85 g.,
52209,,17/07/2024,0,14KT,1,7.7 g.,
52469,,17/07/2024,0,14KT,1,2.99 g.,
52463,,17/07/2024,0,18KT,1,5.32 g.,
52470,,17/07/2024,0,18KT,1,2.04 g.,
52472,,17/07/2024,0,18KT,1,3.06 g.,
52473,,17/07/2024,0,14KT,1,8.53 g.,
52474,,17/07/2024,0,14KT,1,2.73 g.,
52475,,17/07/2024,0,18KT,1,3.09 g.,
52476,,17/07/2024,0,18KT,1,2.63 g.,
52477,,17/07/2024,0,18KT,1,3.99 g.,
52480,,17/07/2024,0,14KT,1,3.8 g.,
52481,,17/07/2024,0,18KT,1,10.13 g.,
52484,,17/07/2024,0,18KT,1,5.77 g.,
52487,,17/07/2024,0,14KT,1,6.55 g.,
52486,,17/07/2024,0,14KT,1,3.81 g.,
52488,,17/07/2024,0,14KT,1,4.39 g.,
52490,,17/07/2024,0,14KT,1,2.21 g.,
52491,,17/07/2024,0,14KT,1,2.41 g.,
52492,,17/07/2024,0,14KT,1,5.43 g.,
52493,,17/07/2024,0,14KT,1,4.0 g.,
52498,,17/07/2024,0,14KT,1,8.4 g.,
52497,,17/07/2024,0,14KT,1,5.7 g.,
52501,,17/07/2024,0,18KT,1,8.6 g.,
52503,,17/07/2024,0,14KT,1,5.49 g.,
52504,,17/07/2024,0,14KT,1,2.51 g.,
52485,,17/07/2024,0,14KT,1,2.65 g.,
52485,,17/07/2024,0,14KT,1,2.03 g.,
52505,,17/07/2024,0,14KT,1,3.65 g.,
52506,,17/07/2024,0,14KT,1,2.17 g.,
52508,,17/07/2024,0,14KT,1,2.32 g.,
52509,,17/07/2024,0,18KT,1,3.4 g.,
52512,,17/07/2024,0,18KT,1,2.48 g.,
52515,,17/07/2024,0,18KT,1,2.27 g.,
52516,,17/07/2024,0,Platinum,1,6.74 g.,
52519,,17/07/2024,0,14KT,1,6.05 g.,
52495,,17/07/2024,0,14KT,2,9.0 g.,
52525,,17/07/2024,0,14KT,1,5.32 g.,
52520,,17/07/2024,0,14KT,1,2.9 g.,
52519,,17/07/2024,0,14KT,1,3.51 g.,
52523,,17/07/2024,0,14KT,1,2.47 g.,
51734,,17/07/2024,0,14KT,1,7.23 g.,
52524,,17/07/2024,0,14KT,1,2.4 g.,
52521,,17/07/2024,0,14KT,1,7.4 g.,
50589,,17/07/2024,0,18KT,1,4.84 g.,
52517,,17/07/2024,0,18KT,1,2.05 g.,
52515,,17/07/2024,0,18KT,1,2.46 g.,
52113,,17/07/2024,0,14KT,1,8.8 g.,
52334,,17/07/2024,0,14KT,1,6.6 g.,
52337,,17/07/2024,0,14KT,1,3.45 g.,
52338,,17/07/2024,0,14KT,1,7.45 g.,
52519,,17/07/2024,0,14KT,1,1.23 g.,
52526,,17/07/2024,0,14KT,1,2.27 g.,
52529,,17/07/2024,0,14KT,1,2.46 g.,
52530,,17/07/2024,0,14KT,1,4.08 g.,
52531,,17/07/2024,0,14KT,1,3.03 g.,
52535,,17/07/2024,0,14KT,1,3.37 g.,
52537,,17/07/2024,0,14KT,1,3.63 g.,
52538,,17/07/2024,0,18KT,1,5.88 g.,
52541,,17/07/2024,0,14KT,1,4.0 g.,
52542,,17/07/2024,0,18KT,1,7.14 g.,
52543,,17/07/2024,0,18KT,1,2.44 g.,
